project_id,github_repo,domain,branch,pyproject_toml,setup_py,probed_at,note
covalent,agnostiqhq/covalent,qc,master,True,True,2026-08-19T18:00:31Z,
stim,quantumlib/stim,qc,main,True,True,2026-08-19T18:00:31Z,
qiskit-aer,qiskit/qiskit-aer,qc,main,True,True,2026-08-19T18:00:31Z,
qsim,quantumlib/qsim,qc,main,True,True,2026-08-19T18:00:31Z,
quimb,jcmgray/quimb,qc,main,True,False,2026-08-19T18:00:31Z,
grassmann-jl,chakravala/grassmann.jl,qc,master,False,False,2026-08-19T18:00:31Z,
blueqatsdk,blueqat/blueqatsdk,qc,main,True,False,2026-08-19T18:00:31Z,
grove,rigetti/grove,qc,master,False,True,2026-08-19T18:00:31Z,
amazon-braket-sdk-python,amazon-braket/amazon-braket-sdk-python,qc,main,True,False,2026-08-19T18:00:31Z,
qualtran,quantumlib/qualtran,qc,main,True,False,2026-08-19T18:00:31Z,
qibo,qiboteam/qibo,qc,master,True,False,2026-08-19T18:00:31Z,
qmasm,lanl/qmasm,qc,master,False,True,2026-08-19T18:00:31Z,
recirq,quantumlib/recirq,qc,main,False,True,2026-08-19T18:00:31Z,
toqito,vprusso/toqito,qc,master,True,False,2026-08-19T18:00:31Z,
qrisp,eclipse-qrisp/qrisp,qc,main,True,True,2026-08-19T18:00:31Z,
pennylane-qiskit,pennylaneai/pennylane-qiskit,qc,master,True,True,2026-08-19T18:00:31Z,
qiskit-ibm-runtime,qiskit/qiskit-ibm-runtime,qc,main,True,False,2026-08-19T18:00:31Z,
catalyst,pennylaneai/catalyst,qc,main,True,True,2026-08-19T18:00:31Z,
quantumtoolbox-jl,qutip/quantumtoolbox.jl,qc,main,False,False,2026-08-19T18:00:31Z,
qutip-qip,qutip/qutip-qip,qc,master,True,False,2026-08-19T18:00:31Z,
ompi,open-mpi/ompi,hpc,main,False,False,2026-08-19T18:00:31Z,
chapel,chapel-lang/chapel,hpc,main,False,False,2026-08-19T18:00:31Z,
neanderthal,uncomplicate/neanderthal,hpc,master,False,False,2026-08-19T18:00:31Z,
ohpc,openhpc/ohpc,hpc,master,False,False,2026-08-19T18:00:31Z,
precice,precice/precice,hpc,main,False,False,2026-08-19T18:00:31Z,
quirk,strilanc/quirk,qc,master,False,False,2026-08-19T18:00:31Z,
qpp,softwareqinc/qpp,qc,main,True,False,2026-08-19T18:00:31Z,
silq,silq-lang/silq,qc,master,False,False,2026-08-19T18:00:31Z,
pyzx,zxcalc/pyzx,qc,master,True,False,2026-08-19T18:00:31Z,
dwave-ocean-sdk,dwavesystems/dwave-ocean-sdk,qc,master,True,True,2026-08-19T18:00:31Z,
qulacs,qulacs/qulacs,qc,main,True,True,2026-08-19T18:00:31Z,
scaffcc,epiqc/scaffcc,qc,master,False,False,2026-08-19T18:00:31Z,
