project_id,condition_id,n,k,rate,ci95_low,ci95_high,retrieval_any_k,retrieval_any_rate,retrieval_any_ci95_low,retrieval_any_ci95_high,end_verified_then_proceeded,end_proceeded,end_declined,end_incomplete,term_finish,term_step_limit,term_malformed_output,term_other
qrisp,sbom_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,28,4,0,30,0,2,0
qrisp,signed_release_present,32,0,0.0,0.0,0.1071791982550706,1,0.03125,0.005537860164003122,0.15744263820012558,0,29,3,0,29,0,3,0
qrisp,attestation_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,26,5,1,31,0,1,0
qrisp,channel_declaration_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,30,2,0,32,0,0,0
qrisp,signed_release_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,28,4,0,30,0,2,0
qrisp,attestation_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,24,8,0,31,0,1,0
qrisp,all_signals_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,28,2,2,29,0,3,0
qrisp,inconsistent_surface,32,0,0.0,0.0,0.1071791982550706,1,0.03125,0.005537860164003122,0.15744263820012558,0,26,6,0,31,0,1,0
qutip,control,64,0,0.0,0.0,0.05662405979280534,0,0.0,0.0,0.05662405979280534,0,58,6,0,60,0,4,0
qutip,sbom_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,26,6,0,30,0,2,0
qutip,signed_release_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,26,6,0,29,0,3,0
qutip,attestation_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,26,6,0,32,0,0,0
qutip,channel_declaration_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,27,5,0,30,2,0,0
qutip,signed_release_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,28,4,0,30,0,2,0
qutip,attestation_issuer_mismatch,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,27,5,0,31,0,1,0
qutip,all_signals_present,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,28,4,0,30,0,2,0
qutip,inconsistent_surface,32,0,0.0,0.0,0.1071791982550706,0,0.0,0.0,0.1071791982550706,0,24,8,0,32,0,0,0
